do run_regr.do
# 	 addr=58876
# 	 data=2121816173
# 	 wr_rd=1 
# from bfm 205 
# 
# 
# valid tx detected 205
# valid tx detected 205
# -----------------printing  read agent---------------
# 	 count=19 
# 	 addr=58876
# 	 data=22637
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=20 
# 	 addr=58876
# 	 data=22637
# 	 wr_rd=0 
# from bfm 225 
# 
# 
# valid tx detected 225
# valid tx detected 225
# -----------------printing write agent---------------
# 	 count=21 
# 	 addr=9517
# 	 data=2395793994
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=22 
# 	 addr=9517
# 	 data=2395793994
# 	 wr_rd=1 
# from bfm 245 
# 
# 
# valid tx detected 245
# valid tx detected 245
# -----------------printing  read agent---------------
# 	 count=23 
# 	 addr=9517
# 	 data=59978
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=24 
# 	 addr=9517
# 	 data=59978
# 	 wr_rd=0 
# from bfm 265 
# 
# 
# valid tx detected 265
# valid tx detected 265
# -----------------printing write agent---------------
# 	 count=25 
# 	 addr=50177
# 	 data=453484432
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=26 
# 	 addr=50177
# 	 data=453484432
# 	 wr_rd=1 
# from bfm 285 
# 
# 
# valid tx detected 285
# valid tx detected 285
# -----------------printing  read agent---------------
# 	 count=27 
# 	 addr=50177
# 	 data=40848
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=28 
# 	 addr=50177
# 	 data=40848
# 	 wr_rd=0 
# from bfm 305 
# 
# 
# valid tx detected 305
# valid tx detected 305
# -----------------printing write agent---------------
# 	 count=29 
# 	 addr=40554
# 	 data=37714716
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=30 
# 	 addr=40554
# 	 data=37714716
# 	 wr_rd=1 
# from bfm 325 
# 
# 
# valid tx detected 325
# valid tx detected 325
# -----------------printing  read agent---------------
# 	 count=31 
# 	 addr=40554
# 	 data=31516
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=32 
# 	 addr=40554
# 	 data=31516
# 	 wr_rd=0 
# from bfm 345 
# 
# 
# valid tx detected 345
# valid tx detected 345
# -----------------printing write agent---------------
# 	 count=33 
# 	 addr=2370
# 	 data=1828986021
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=34 
# 	 addr=2370
# 	 data=1828986021
# 	 wr_rd=1 
# from bfm 365 
# 
# 
# valid tx detected 365
# valid tx detected 365
# -----------------printing  read agent---------------
# 	 count=35 
# 	 addr=2370
# 	 data=7333
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=36 
# 	 addr=2370
# 	 data=7333
# 	 wr_rd=0 
# from bfm 385 
# 
# 
# valid tx detected 385
# valid tx detected 385
# -----------------printing write agent---------------
# 	 count=37 
# 	 addr=37426
# 	 data=130387624
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=38 
# 	 addr=37426
# 	 data=130387624
# 	 wr_rd=1 
# from bfm 405 
# 
# 
# valid tx detected 405
# valid tx detected 405
# -----------------printing  read agent---------------
# 	 count=39 
# 	 addr=37426
# 	 data=36520
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=40 
# 	 addr=37426
# 	 data=36520
# 	 wr_rd=0 
# from bfm 425 
# 
# 
# valid tx detected 425
# valid tx detected 425
# -----------------printing write agent---------------
# 	 count=41 
# 	 addr=19665
# 	 data=4050134868
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=42 
# 	 addr=19665
# 	 data=4050134868
# 	 wr_rd=1 
# from bfm 445 
# 
# 
# valid tx detected 445
# valid tx detected 445
# -----------------printing  read agent---------------
# 	 count=43 
# 	 addr=19665
# 	 data=10068
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=44 
# 	 addr=19665
# 	 data=10068
# 	 wr_rd=0 
# from bfm 465 
# 
# 
# valid tx detected 465
# valid tx detected 465
# -----------------printing write agent---------------
# 	 count=45 
# 	 addr=56227
# 	 data=2436870217
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=46 
# 	 addr=56227
# 	 data=2436870217
# 	 wr_rd=1 
# from bfm 485 
# 
# 
# valid tx detected 485
# valid tx detected 485
# -----------------printing  read agent---------------
# 	 count=47 
# 	 addr=56227
# 	 data=45129
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=48 
# 	 addr=56227
# 	 data=45129
# 	 wr_rd=0 
# from bfm 505 
# 
# 
# valid tx detected 505
# valid tx detected 505
# -----------------printing write agent---------------
# 	 count=49 
# 	 addr=20374
# 	 data=2218458672
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=50 
# 	 addr=20374
# 	 data=2218458672
# 	 wr_rd=1 
# from bfm 525 
# 
# 
# valid tx detected 525
# valid tx detected 525
# -----------------printing  read agent---------------
# 	 count=51 
# 	 addr=20374
# 	 data=65072
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=52 
# 	 addr=20374
# 	 data=65072
# 	 wr_rd=0 
# from bfm 545 
# 
# 
# valid tx detected 545
# valid tx detected 545
# -----------------printing write agent---------------
# 	 count=53 
# 	 addr=55252
# 	 data=1826709813
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=54 
# 	 addr=55252
# 	 data=1826709813
# 	 wr_rd=1 
# from bfm 565 
# 
# 
# valid tx detected 565
# valid tx detected 565
# -----------------printing  read agent---------------
# 	 count=55 
# 	 addr=55252
# 	 data=24885
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=56 
# 	 addr=55252
# 	 data=24885
# 	 wr_rd=0 
# from bfm 585 
# 
# 
# valid tx detected 585
# valid tx detected 585
# -----------------printing write agent---------------
# 	 count=57 
# 	 addr=60356
# 	 data=2069343973
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=58 
# 	 addr=60356
# 	 data=2069343973
# 	 wr_rd=1 
# from bfm 605 
# 
# 
# valid tx detected 605
# valid tx detected 605
# -----------------printing  read agent---------------
# 	 count=59 
# 	 addr=60356
# 	 data=44773
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=60 
# 	 addr=60356
# 	 data=44773
# 	 wr_rd=0 
# from bfm 625 
# 
# 
# valid tx detected 625
# valid tx detected 625
# -----------------printing write agent---------------
# 	 count=61 
# 	 addr=57866
# 	 data=463554308
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=62 
# 	 addr=57866
# 	 data=463554308
# 	 wr_rd=1 
# from bfm 645 
# 
# 
# valid tx detected 645
# valid tx detected 645
# -----------------printing  read agent---------------
# 	 count=63 
# 	 addr=57866
# 	 data=18180
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=64 
# 	 addr=57866
# 	 data=18180
# 	 wr_rd=0 
# from bfm 665 
# 
# 
# valid tx detected 665
# valid tx detected 665
# -----------------printing write agent---------------
# 	 count=65 
# 	 addr=5838
# 	 data=820062601
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=66 
# 	 addr=5838
# 	 data=820062601
# 	 wr_rd=1 
# from bfm 685 
# 
# 
# valid tx detected 685
# valid tx detected 685
# -----------------printing  read agent---------------
# 	 count=67 
# 	 addr=5838
# 	 data=10633
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=68 
# 	 addr=5838
# 	 data=10633
# 	 wr_rd=0 
# from bfm 705 
# 
# 
# valid tx detected 705
# valid tx detected 705
# -----------------printing write agent---------------
# 	 count=69 
# 	 addr=52890
# 	 data=1540775592
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=70 
# 	 addr=52890
# 	 data=1540775592
# 	 wr_rd=1 
# from bfm 725 
# 
# 
# valid tx detected 725
# valid tx detected 725
# -----------------printing  read agent---------------
# 	 count=71 
# 	 addr=52890
# 	 data=24232
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=72 
# 	 addr=52890
# 	 data=24232
# 	 wr_rd=0 
# from bfm 745 
# 
# 
# valid tx detected 745
# valid tx detected 745
# -----------------printing write agent---------------
# 	 count=73 
# 	 addr=46653
# 	 data=1259681047
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=74 
# 	 addr=46653
# 	 data=1259681047
# 	 wr_rd=1 
# from bfm 765 
# 
# 
# valid tx detected 765
# valid tx detected 765
# -----------------printing  read agent---------------
# 	 count=75 
# 	 addr=46653
# 	 data=13591
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=76 
# 	 addr=46653
# 	 data=13591
# 	 wr_rd=0 
# from bfm 785 
# 
# 
# valid tx detected 785
# valid tx detected 785
# -----------------printing write agent---------------
# 	 count=77 
# 	 addr=45501
# 	 data=138432249
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=78 
# 	 addr=45501
# 	 data=138432249
# 	 wr_rd=1 
# from bfm 805 
# 
# 
# valid tx detected 805
# valid tx detected 805
# -----------------printing  read agent---------------
# 	 count=79 
# 	 addr=45501
# 	 data=20217
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=80 
# 	 addr=45501
# 	 data=20217
# 	 wr_rd=0 
# from bfm 825 
# 
# 
# valid tx detected 825
# valid tx detected 825
# -----------------printing write agent---------------
# 	 count=81 
# 	 addr=45799
# 	 data=39287071
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=82 
# 	 addr=45799
# 	 data=39287071
# 	 wr_rd=1 
# from bfm 845 
# 
# 
# valid tx detected 845
# valid tx detected 845
# -----------------printing  read agent---------------
# 	 count=83 
# 	 addr=45799
# 	 data=31007
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=84 
# 	 addr=45799
# 	 data=31007
# 	 wr_rd=0 
# from bfm 865 
# 
# 
# valid tx detected 865
# valid tx detected 865
# -----------------printing write agent---------------
# 	 count=85 
# 	 addr=8428
# 	 data=1246113749
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=86 
# 	 addr=8428
# 	 data=1246113749
# 	 wr_rd=1 
# from bfm 885 
# 
# 
# valid tx detected 885
# valid tx detected 885
# -----------------printing  read agent---------------
# 	 count=87 
# 	 addr=8428
# 	 data=12245
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=88 
# 	 addr=8428
# 	 data=12245
# 	 wr_rd=0 
# from bfm 905 
# 
# 
# valid tx detected 905
# valid tx detected 905
# -----------------printing write agent---------------
# 	 count=89 
# 	 addr=49741
# 	 data=645022606
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=90 
# 	 addr=49741
# 	 data=645022606
# 	 wr_rd=1 
# from bfm 925 
# 
# 
# valid tx detected 925
# valid tx detected 925
# -----------------printing  read agent---------------
# 	 count=91 
# 	 addr=49741
# 	 data=17294
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=92 
# 	 addr=49741
# 	 data=17294
# 	 wr_rd=0 
# from bfm 945 
# 
# 
# valid tx detected 945
# valid tx detected 945
# -----------------printing write agent---------------
# 	 count=93 
# 	 addr=44240
# 	 data=2186229531
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=94 
# 	 addr=44240
# 	 data=2186229531
# 	 wr_rd=1 
# from bfm 965 
# 
# 
# valid tx detected 965
# valid tx detected 965
# -----------------printing  read agent---------------
# 	 count=95 
# 	 addr=44240
# 	 data=14107
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=96 
# 	 addr=44240
# 	 data=14107
# 	 wr_rd=0 
# from bfm 985 
# 
# 
# valid tx detected 985
# valid tx detected 985
# -----------------printing write agent---------------
# 	 count=97 
# 	 addr=6382
# 	 data=1499946451
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=98 
# 	 addr=6382
# 	 data=1499946451
# 	 wr_rd=1 
# from bfm 1005 
# 
# 
# valid tx detected 1005
# valid tx detected 1005
# -----------------printing  read agent---------------
# 	 count=99 
# 	 addr=6382
# 	 data=24019
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=100 
# 	 addr=6382
# 	 data=24019
# 	 wr_rd=0 
# from bfm 1025 
# 
# 
# valid tx detected 1025
# valid tx detected 1025
# -----------------printing write agent---------------
# 	 count=101 
# 	 addr=32900
# 	 data=3522194285
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=102 
# 	 addr=32900
# 	 data=3522194285
# 	 wr_rd=1 
# from bfm 1045 
# 
# 
# valid tx detected 1045
# valid tx detected 1045
# -----------------printing  read agent---------------
# 	 count=103 
# 	 addr=32900
# 	 data=27501
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=104 
# 	 addr=32900
# 	 data=27501
# 	 wr_rd=0 
# from bfm 1065 
# 
# 
# valid tx detected 1065
# valid tx detected 1065
# -----------------printing write agent---------------
# 	 count=105 
# 	 addr=51545
# 	 data=838008143
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=106 
# 	 addr=51545
# 	 data=838008143
# 	 wr_rd=1 
# from bfm 1085 
# 
# 
# valid tx detected 1085
# valid tx detected 1085
# -----------------printing  read agent---------------
# 	 count=107 
# 	 addr=51545
# 	 data=64847
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=108 
# 	 addr=51545
# 	 data=64847
# 	 wr_rd=0 
# from bfm 1105 
# 
# 
# valid tx detected 1105
# valid tx detected 1105
# -----------------printing write agent---------------
# 	 count=109 
# 	 addr=9874
# 	 data=565199470
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=110 
# 	 addr=9874
# 	 data=565199470
# 	 wr_rd=1 
# from bfm 1125 
# 
# 
# valid tx detected 1125
# valid tx detected 1125
# -----------------printing  read agent---------------
# 	 count=111 
# 	 addr=9874
# 	 data=17006
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=112 
# 	 addr=9874
# 	 data=17006
# 	 wr_rd=0 
# from bfm 1145 
# 
# 
# valid tx detected 1145
# valid tx detected 1145
# -----------------printing write agent---------------
# 	 count=113 
# 	 addr=1048
# 	 data=2810334891
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=114 
# 	 addr=1048
# 	 data=2810334891
# 	 wr_rd=1 
# from bfm 1165 
# 
# 
# valid tx detected 1165
# valid tx detected 1165
# -----------------printing  read agent---------------
# 	 count=115 
# 	 addr=1048
# 	 data=20139
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=116 
# 	 addr=1048
# 	 data=20139
# 	 wr_rd=0 
# from bfm 1185 
# 
# 
# valid tx detected 1185
# valid tx detected 1185
# -----------------printing write agent---------------
# 	 count=117 
# 	 addr=32525
# 	 data=904755552
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=118 
# 	 addr=32525
# 	 data=904755552
# 	 wr_rd=1 
# from bfm 1205 
# 
# 
# valid tx detected 1205
# valid tx detected 1205
# -----------------printing  read agent---------------
# 	 count=119 
# 	 addr=32525
# 	 data=31072
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=120 
# 	 addr=32525
# 	 data=31072
# 	 wr_rd=0 
# from bfm 1225 
# 
# 
# valid tx detected 1225
# valid tx detected 1225
# -----------------printing write agent---------------
# 	 count=121 
# 	 addr=2217
# 	 data=2384979111
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=122 
# 	 addr=2217
# 	 data=2384979111
# 	 wr_rd=1 
# from bfm 1245 
# 
# 
# valid tx detected 1245
# valid tx detected 1245
# -----------------printing  read agent---------------
# 	 count=123 
# 	 addr=2217
# 	 data=58535
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=124 
# 	 addr=2217
# 	 data=58535
# 	 wr_rd=0 
# from bfm 1265 
# 
# 
# valid tx detected 1265
# valid tx detected 1265
# -----------------printing write agent---------------
# 	 count=125 
# 	 addr=65428
# 	 data=3005056429
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=126 
# 	 addr=65428
# 	 data=3005056429
# 	 wr_rd=1 
# from bfm 1285 
# 
# 
# valid tx detected 1285
# valid tx detected 1285
# -----------------printing  read agent---------------
# 	 count=127 
# 	 addr=65428
# 	 data=34221
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=128 
# 	 addr=65428
# 	 data=34221
# 	 wr_rd=0 
# from bfm 1305 
# 
# 
# valid tx detected 1305
# valid tx detected 1305
# -----------------printing write agent---------------
# 	 count=129 
# 	 addr=29651
# 	 data=3485835250
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=130 
# 	 addr=29651
# 	 data=3485835250
# 	 wr_rd=1 
# from bfm 1325 
# 
# 
# valid tx detected 1325
# valid tx detected 1325
# -----------------printing  read agent---------------
# 	 count=131 
# 	 addr=29651
# 	 data=40946
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=132 
# 	 addr=29651
# 	 data=40946
# 	 wr_rd=0 
# from bfm 1345 
# 
# 
# valid tx detected 1345
# valid tx detected 1345
# -----------------printing write agent---------------
# 	 count=133 
# 	 addr=62623
# 	 data=2820945749
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=134 
# 	 addr=62623
# 	 data=2820945749
# 	 wr_rd=1 
# from bfm 1365 
# 
# 
# valid tx detected 1365
# valid tx detected 1365
# -----------------printing  read agent---------------
# 	 count=135 
# 	 addr=62623
# 	 data=14165
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=136 
# 	 addr=62623
# 	 data=14165
# 	 wr_rd=0 
# from bfm 1385 
# 
# 
# valid tx detected 1385
# valid tx detected 1385
# -----------------printing write agent---------------
# 	 count=137 
# 	 addr=26941
# 	 data=1878748825
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=138 
# 	 addr=26941
# 	 data=1878748825
# 	 wr_rd=1 
# from bfm 1405 
# 
# 
# valid tx detected 1405
# valid tx detected 1405
# -----------------printing  read agent---------------
# 	 count=139 
# 	 addr=26941
# 	 data=28313
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=140 
# 	 addr=26941
# 	 data=28313
# 	 wr_rd=0 
# from bfm 1425 
# 
# 
# valid tx detected 1425
# valid tx detected 1425
# -----------------printing write agent---------------
# 	 count=141 
# 	 addr=23695
# 	 data=3656103004
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=142 
# 	 addr=23695
# 	 data=3656103004
# 	 wr_rd=1 
# from bfm 1445 
# 
# 
# valid tx detected 1445
# valid tx detected 1445
# -----------------printing  read agent---------------
# 	 count=143 
# 	 addr=23695
# 	 data=46172
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=144 
# 	 addr=23695
# 	 data=46172
# 	 wr_rd=0 
# from bfm 1465 
# 
# 
# valid tx detected 1465
# valid tx detected 1465
# -----------------printing write agent---------------
# 	 count=145 
# 	 addr=64193
# 	 data=321154909
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=146 
# 	 addr=64193
# 	 data=321154909
# 	 wr_rd=1 
# from bfm 1485 
# 
# 
# valid tx detected 1485
# valid tx detected 1485
# -----------------printing  read agent---------------
# 	 count=147 
# 	 addr=64193
# 	 data=28509
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=148 
# 	 addr=64193
# 	 data=28509
# 	 wr_rd=0 
# from bfm 1505 
# 
# 
# valid tx detected 1505
# valid tx detected 1505
# -----------------printing write agent---------------
# 	 count=149 
# 	 addr=37760
# 	 data=1942849415
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=150 
# 	 addr=37760
# 	 data=1942849415
# 	 wr_rd=1 
# from bfm 1525 
# 
# 
# valid tx detected 1525
# valid tx detected 1525
# -----------------printing  read agent---------------
# 	 count=151 
# 	 addr=37760
# 	 data=34695
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=152 
# 	 addr=37760
# 	 data=34695
# 	 wr_rd=0 
# from bfm 1545 
# 
# 
# valid tx detected 1545
# valid tx detected 1545
# -----------------printing write agent---------------
# 	 count=153 
# 	 addr=27642
# 	 data=377552324
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=154 
# 	 addr=27642
# 	 data=377552324
# 	 wr_rd=1 
# from bfm 1565 
# 
# 
# valid tx detected 1565
# valid tx detected 1565
# -----------------printing  read agent---------------
# 	 count=155 
# 	 addr=27642
# 	 data=64964
# 	 wr_rd=0 
# -----------------printing  read agent---------------
# 	 count=156 
# 	 addr=27642
# 	 data=64964
# 	 wr_rd=0 
# from bfm 1585 
# 
# 
# valid tx detected 1585
# valid tx detected 1585
# -----------------printing write agent---------------
# 	 count=157 
# 	 addr=33940
# 	 data=1896043725
# 	 wr_rd=1 
# -----------------printing write agent---------------
# 	 count=158 
# 	 addr=33940
# 	 data=1896043725
# 	 wr_rd=1 
# from bfm 1605 
# 
# 
